"Title","Username","ID"
"megaalphatg","megaalphatg",2629970445
"GENESIS GEM CHAT","GeNeSiS_Lounge","2124901271"
"Whale Coin Talk","whalecointalk","1344564766"
"Uniswap Trollbox","uniswaptrollbox","1384676502"
"LEGION.","legioncallz","2243485250"
"Micha Calls - Multichain","michacalls","1655443406"
"Major Livestream & Community Chat | @MajorTrending","MajorCommunityChat","2171529686"
"Infinity Gainz",,"1324535284"
"CryptoMoonShots Chat 加密月球shots","CryptoMoonShots_Chat","1436890846"
"Gambles 🎲 MadApes","mad_apes_gambles","1758611100"
"Solana Early Trending 💵","solearlytrending","2093384030"
"Bitcong 🎲 Gambles","dogehomes","1948082809"
"SolHouse Signal","solhousesignal","2483474049"
"MadApes Calls","mad_apes_call","1697697574"
"Solstice's Moonshots","solsticesmoonshots","2032946187"
"TIGERS CALLS { 𝐄𝐓𝐇 / 𝐁𝐒𝐂 /SOL }","tigers_callz","1778505113"
"MrEdu’s Trades","MrEduTrades","1842612932"
"Akatsuki Degen Ape","Akatsuki_Calls_x1000","1910079152"
"Cas Gem (EL404)","casgem","2054466090"
"Maestros Gamble Degen Apes","Maestrosdegen","1810124798"
"Crypto Launch Hunter","CryptoLaunchhunter","1231932764"
"POSEIDON DEGEN CALLS","POSEIDON_DEGEN_CALLS","1869537526"
"DELUGE.CASH | SOL EVENTS","trendingsevents","1956613416"
"Klutch Trades","klutchtrades","2062040069"
"BagCalls 🎒🎒🎒","bagcalls","1225991487"
"Daddysol's Gem Calls","daddysolsgemcalls","2038542104"
"Khronos Χρονος","KhronosAllChain","1700113598"
"阿布说币频道 寻找全链金狗","sol_num1","2012596566"
"Nik's Eth + Sol Plays","NiksGambles","1500874400"
"Natalia Calls || 娜塔莉亚的电话","CobraGems","1784631341"
"Make Money With Matt 💰","MakeMoneyWithMattTG","1923532430"
"🦇 BATMAN GAMBLE 🎲","BatmanGamble","1510769567"
"Maythous Degens","maythousdegens","1989363348"
"FEXIRCALLS🎲♟️","Crypto_FexirGems","1713964244"
"First Ledger Official","FirstLedgerChats","2064496071"
"GENESIS CHAIN CALLS","GenesisChain_Calls","2086003521"
"The Don’s Degens","degensgems","1587879377"
"Mr. T’s Crypto Gems","MrTsCallss","2028889478"
"Doctore ~ Journal","DoctoreCalls","1918092067"
"CRYPTO CAPITAL CARTEL 📡 (FREE SIGNAL)","sendordiesol","2350093099"
"Levis Calls","LevisAlpha","1924457034"
"Charto Gambling Cartel 🎰","ChartoCartel","2395243823"
"Brainstorm Alphas","BrainstormAlphas","1998952736"
"zinc's ai alpha🗿","zincalpha","2465484034"
"ferb's friends","ferbsfriendz","1999456751"
"Crypto Recovery","cryptorecoveryss","2266623473"
"Dr. Crypto Calls ❁","dr_crypto_channel","1755052940"
"🚀 Alt Crypto Gems 💎","Alt_Crypto_Gems","1204206088"
"Luigi’s SOL, ETH & BSC Alpha Calls","luigiscalls","1218247352"
"The Trenches by Mladek","insidersenclave","2084701878"
"wat is des","watisdes","1870127953"
"CryptoNekoZ Journal","cryptonekoz411","1381187829"
"🐧Dippy Alpha Calls","dippy_calls","1538340900"
"Robo Calls","robogems","1712204022"
"Hustler’s Alpha","hustlersalpha","1938705026"
"MEME SMILE","MEMESMILE_GB","2062872196"
"GekkoCalls💎","gekkocalls","1673937526"
"GREEN APES CALLS","Green_Apes_Calls","1652789906"
"CryptoMoonShots Channel 渠道","CryptoMoonShots_Channel","2228489406"
"Solana Rockets","solanarockets","1847478518"
"Neo Calls","NeoCallss","1727739570"
"seaplays","SEAPLAYS","1500948745"
"🍯 Honey Calls","honeycalls","1446663512"
"BraveCalls @Bravelounge - BravePlays","brave_calls","1761733308"
"Phanes Hub","PhanesHub","2079356174"
"now @luciostrades","viperdegens","2483028629"
"Solstice's Degens","solsticebillboard","2000455647"
"based kook calls","hellokook","2082341024"
"KRYPTO POLSKA","KryptoPolska10","1546051800"
"HolyZ","theholyz","2496328618"
"Whale Billionaire ( 鲸鱼亿万富翁 ) 🈲","solar_apes_calls","2016911756"
"Tony Dialga","dialgacalls","1714005506"
"$DWIFB | Community | Solana","dwifbsolana","2340161874"
"degnben’s cartel ✍️","degenBENPLAYS","2020853343"
"GEM of Key.ATHs 50 SOL -> 6900 SOL","GEMsLikesATHs","2107741923"
"Crypto Chat","kmmmkbivdeolar","2349388665"
"Crypto Pumps Signals","Crypto_Pump_Exclusives","1210409018"
"The Crypto Hideout","TheCryptoHideout","1531562936"
"MadApes Calls","mad_apes_call","1697697574"
"Whale Coin Talk","whalecointalk","1344564766"
"BONKbot Chat NO DMS ARE REAL 🚨",,"1982156375"
